匕 bi3 "dagger; ladle"
峤 jiao4 "highest peak"
峋 xun2 "ranges of hills"
峥 zheng1 "excel; lofty"
贶 kuang4 "to bestow; to confer"
钚 bu4 "plutonium (chemistry)"
钛 tai4 "titanium (chemistry)"
钡 bei4 "barium (chemistry)"
钣 ban3 "metal plate; sheet of metal"
钤 qian2 "latch of door; seal"
钨 wu1 "tungsten (chemistry)"
钫 fang1 "francium (chemistry)"
钯 ba3 "palladium (chemistry)"
氡 dong1 "radon (chemistry)"
氟 fu2 "fluorine (chemistry)"
牯 gu3 "bullock; cow"
郜 gao4 "name of a feudal state"
秕 bi3 "grain not fully grown; husks; withered grain; unripe grain"
秭 zi3 billion
笈 ji2 "trunks (for books)"
笃 du3 "serious (illness); sincere; true"
俦 chou2 "comrades; friends; companions"
俨 yan3 "majestic; dignified"
俅 qiu2 "ornamental cap"
俪 li4 "husband and wife"
垡 fa2 "to turn the soil; upturned soil"
牮 jian4 "to prop up"
俣 yu3 big
俚 li3 "rustic; vulgar; unrefined"
皈 gui1 "to comply with; to follow"
俑 yong3 "wooden figures buried with the dead"
俟 si4 "(literary) to wait for"
逅 hou4 "to meet unexpectedly"
徇 xun4 "to give in to; to be swayed by (personal considerations etc); to follow; to expose publicly"
徉 yang2 "to walk back and forth"
舢 shan1 sampan
俎 zu3 "a stand for food at sacrifice"
郛 fu2 suburbs
瓴 ling2 "concave channels of tiling"
胪 lu2 "belly; skin; to state; to pass on information; to display"
胛 jia3 "shoulder blade"
胂 shen4 arsine
胙 zuo4 "to grant or bestow; blessing"
胍 gua1 guanidine
胗 zhen1 gizzard
胫 jing4 "lower part of leg"
鸨 bao3 "chinese bustard; procuress"
狨 rong2 "marmoset (zoology)"
狯 kuai4 "crafty; cunning"
飑 biao1 whirlwind
狩 shou4 "to hunt; to go hunting (as winter sport in former times); hunting dog; imperial tour"
狲 sun1 (monkey)
訇 hong1 "sound of a crash"
饷 xiang3 "soldier's pay"
胤 yin4 "descendant; heir; offspring; posterity; to inherit"
孪 luan2 twins
娈 luan2 beautiful
奕 yi4 "abundant; graceful"
庥 xiu1 "protection; shade"
疣 you2 "nodule; wart"
疥 jie4 scabies
竑 hong2 "large; to estimate"
飒 sa4 "sound of wind; valiant; melancholy"
闼 ta4 "door of an inner room"
闾 lü2 "gate of a village; village"
闿 kai3 "to loosen; to open"
阂 he2 obstruct
羑 you3 "to lead"
迸 beng4 "to burst forth; to spurt; to crack; split"
籼 xian1 "long-grained rice"
炳 bing3 "bright; brilliant; luminous"
炻 shi2 stoneware
炽 chi4 "to burn; to blaze; splendid; illustrious"
炯 jiong3 "bright; clear"
烀 hu1 "to cook in a small quantity of water"
炷 zhu4 "wick of an oil lamp; to burn (incense etc); classifier for lit incense sticks"
烃 ting1 hydrocarbon
洹 huan2 "name of a river"
洧 wei3 "name of a river"
洌 lie4 "pure; to cleanse"
浃 jia1 "soaked; to wet; to drench"
洇 yin1 "to soak; to blotch; to splotch"
洄 hui2 "eddying; whirling (of water); to go against the current"
洙 zhu1 "name of a river"
涎 xian2 saliva
洎 ji4 "to reach; when"
洫 xu4 "to ditch; a moat"
浍 kuai4 "drain; stream"
洮 tao2 "to cleanse; name of a river"
洵 xun2 "truly; whirlpool"
浒 hu3 "bank of a river"
浔 xun2 "name of a river; steep bank"
浕 jin4 "river in hubei province"
洳 ru4 "damp; boggy; marshy"
恸 tong4 grief
恓 xi1 "troubled; vexed"
恫 dong4 frighten
恺 kai3 "joyful; kind"
恻 ce4 sorrowful
恂 xun2 sincere
恪 ke4 "respectful; scrupulous"
宥 you4 "to forgive; to help; profound"
扃 jiong1 "(literary) to shut or bolt a door; door"
衲 na4 "cassock; to line"
衽 ren4 "(literary) overlapping part of chinese gown; lapel; sleeping mat"
衿 jin1 "collar; belt"
袂 mei4 "sleeve of a robe"
祛 qu1 "sacrifice to drive away calamity; to dispel; to drive away; to remove"
祜 hu4 "celestial blessing"
祓 fu2 "to cleanse; to remove evil; ritual for seeking good fortune and avoiding disaster"
祚 zuo4 "blessing; the throne"
诮 qiao4 "ridicule; to blame"
祗 zhi1 "respectful (ly)"
祢 ni3 "you (used to address a deity)"
祢 mi2 "memorial tablet in a temple commemorating a deceased father"
诰 gao4 "to enjoin; to grant (a title)"
诳 kuang2 "to deceive; to dupe; falsehood; lie"
鸩 zhen4 "legendary bird whose feathers can be used as poison; poisonous; to poison sb"
昶 chang3 "(of the day) long"
咫 zhi3 "8 in. length unit of zhou dynasty"
弭 mi3 "to stop; repress"
坒 bi4 "to compare; to match; to equal"
陛 bi4 "the steps to the throne"
陟 zhi4 "to advance; to ascend; to promote"
娅 ya4 "address term between sons-in-law"
娆 rao2 graceful
姝 shu1 "pretty woman"
姣 jiao1 "cunning; pretty"
姘 pin1 "to be a mistress or lover"
姹 cha4 beautiful
怼 dui4 "dislike; hate"
怼 dui3 "(internet slang) to attack verbally; to publicly criticize; to call out"
羿 yi4 "name of legendary archer"
炱 tai2 soot
矜 jin1 "to boast; to esteem; to sympathize"
骁 xiao1 "good horse; valiant"
骅 hua2 "chestnut horse"
绗 hang2 "to quilt"
绛 jiang4 purple-red
骈 pian2 "(of a pair of horses) to pull side by side; to be side by side; to be fused together; parallel (literary style)"
耖 chao4 "harrow-like implement for pulverizing clods of soil; to level ground with such an implement"
挈 qie4 "to raise; to lift; to take along (e.g. one's family)"
珥 er3 "pearl or jade earring"
珙 gong3 (gem)
珰 dang1 "(literary) pendant ornament; earring; eunuch"
珩 heng2 "top gem of pendant from girdle"
珧 yao2 mother-of-pearl
珣 xun2 (gem)
珞 luo4 neck-ornament
琤 cheng1 "tinkling of gems"
珲 hun2 "(fine jade)"
恚 hui4 rage
埔 bu4 "port; wharf; pier"
埔 pu3 "port; flat land next to a river or ocean"
埕 cheng2 "earthen jar"
埘 shi2 "hen roost"
埙 xun1 "ocarina; wind instrument consisting of an egg-shaped chamber with holes"
埚 guo1 crucible
挹 yi4 "(literary) to scoop up; to ladle out; (literary) to draw toward oneself"
耄 mao4 "extremely aged (in one's 80s or 90s); octogenarian; nonagenarian"
埒 lie4 "(literary) equal; enclosure; dike; embankment"
捋 luo1 "to hold sth long and run one's hand along it"
捋 lü3 "to smooth or arrange sth using one's fingers; to stroke"
贽 zhi4 "gifts to superiors"
捃 jun4 "gather; to sort"
莆 pu2 "place name"
莳 shi4 "to grow; to transplant"
莪 e2 "zedoary (curcuma zedoaria), plant rhizome similar to turmeric"
莠 you3 "setaria viridis; vicious"
莅 li4 "river in hebei; to attend (an official function); to be present; to administer; to approach (esp. as administrator)"
荼 tu2 "thistle; common sowthistle (sonchus oleraceus); bitter (taste); cruel; flowering grass in profusion"
莩 fu2 "membrane lining inside a cylindrical stem; culm"
荽 sui1 coriander
莸 you2 "caryopteris divaricata"
荻 di2 "anaphalis yedoensis (pearly everlasting reed)"
莘 shen1 "long; numerous"
莘 xin1 "asarum; wild ginger"
莞 guan3 (district)
莞 wan3 smile
莞 guan1 "skimmia japonica"
莨 lang4 "scopalia japonica maxin"
鸪 gu1 "partridge; francolinus chinensis"
莼 chun2 "edible water plant; brasenia schreberi; edible water plant; brasenia schreberi"
栲 kao3 "chinquapin (castanopsis fargesii and other spp.), genus of evergreen trees"
栳 lao3 basket
郴 chen1 "name of a district in hunan"
桓 huan2 "chinese soapberry (sapindus mukurossi); big"
桡 rao2 "radius (anatomy); bone of the forearm"
桎 zhi4 fetters
桢 zhen1 "evergreen shrub"
桤 qi1 alder
梃 ting3 "a club (weapon)"
栝 gua1 "juniperus chinensis; measuring-frame"
桕 jiu4 "tallow tree; sapium sebiferum"
桁 hang2 "cangue (stocks to punish criminals)"
桁 heng2 "pole plate; purlin (cross-beam in roof); ridge-pole"
桧 gui4 "chinese juniper (juniperus chinensis)"
桅 wei2 mast
栟 bing1 "trachycarpus excelsa"
桉 an1 "eucalyptus globulus"
栩 xu3 "jolcham oak (quercus serrata)"
逑 qiu2 "collect; to match"
逋 bu1 "to flee; to abscond; to owe"
彧 yu4 "accomplished; elegant"
豇 jiang1 "cowpeas; black-eyed beans"
酐 gan1 anhydride
逦 li3 winding
厝 cuo4 "to lay in place; to put; to place a coffin in a temporary location pending burial"
砹 ai4 "astatine (chemistry)"
砺 li4 "grind; sandstone"
砧 zhen1 anvil
砷 shen1 "arsenic (chemistry)"
砟 zha3 fragments
砼 tong2 "concrete (construction)"
砥 di3 "baffle (pier); whetstone"
砣 tuo2 "steelyard weight; stone roller; to polish jade with an emery wheel"
砻 long2 "to grind; to mill"
轼 shi4 "crossbar in carriage front"
轾 zhi4 "back and lower of chariot; short; low"
辂 lu4 chariot
鸫 dong1 "thrush (bird of genus turdus)"
趸 dun3 wholesale
龀 chen4 "to replace the milk teeth"
鸬 lu2 cormorant
虔 qian2 "to act with reverence; reverent"
逍 xiao1 "leisurely; easygoing"
晟 sheng4 "brightness of sun; splendor"
眩 xuan4 "dazzling; brilliant; dazzled; dizzy"
眙 yi2 "place name"
哧 chi1 "breathing; tearing of paper, ripping of fabric etc"
哽 geng3 "to choke with emotion; to choke on a piece of food"
晏 yan4 "late; quiet"
鸮 xiao1 "owl (order strigiformes)"
趵 bao4 "jump; leap"
畛 zhen3 "border; boundary; field-path"
蚨 fu2 "(water-beetle); money"
蚜 ya2 aphis
蚋 rui4 "(mosquito); simulia lugubris; blackfly"
蚬 xian3 "basket clam (clam of family corbiculidae)"
蚝 hao2 oyster
圄 yu3 "prison; to imprison"
唣 zao4 "to make trouble; to harass"
唏 xi1 "sound of sobbing"
盎 ang4 "(literary) brimming; abundant"
唑 zuo4 "azole (chemistry)"
崂 lao2 "name of a mountain in shandong"
崃 lai2 "name of a mountain in sichuan"
罡 gang1 "stars of the big dipper that constitute the tail of the dipper"
罟 gu3 "to implicate; net for birds or fish"
峪 yu4 valley
觊 ji4 "to covet; to long for"
赅 gai1 "complete; full"
钰 yu4 "treasure; hard metal"
钲 zheng1 "gong used to halt troops"
钴 gu3 "cobalt (chemistry)"
钵 bo1 "small earthenware plate or basin; a monk's alms bowl"
钹 bo2 cymbals
钺 yue4 battle-ax
钽 tan3 "tantalum (chemistry)"
钼 mu4 "molybdenum (chemistry)"
钿 tian2 money
钿 dian4 "to inlay with gold, silver etc"
铀 you2 "uranium (chemistry)"
铂 bo2 "platinum (chemistry)"
铄 shuo4 "bright; to melt; to fuse"
铆 mao3 "to fasten with rivets; (coll.) to exert one's strength"
铈 shi4 "cerium (chemistry)"
铊 ta1 "thallium (chemistry)"
铋 bi4 "bismuth (chemistry)"
铌 ni2 "niobium (chemistry)"
铍 pi2 "beryllium (chemistry)"
氩 ya4 "argon (chemistry)"
氤 yin1 "generative forces; magic emanation"
氦 hai4 "helium (chemistry)"
毪 mu2 "a type of woolen fabric made in tibet"
舐 shi4 "to lick; to lap (up)"
秣 mo4 "feed a horse with grain; horse feed"
秫 shu2 "broomcorn millet (panicum spp.); panicum italicum; glutinous millet"
笄 ji1 "15 years old; hairpin for bun"
笕 jian3 "bamboo conduit; water pipe of bamboo"
笊 zhao4 "loosely woven bamboo ladle"
笆 ba1 "an article made of bamboo strips; fence"
俸 feng4 salary
倩 qian4 "pretty; winsome; to ask for sb's help"
俵 biao4 "to distribute"
偌 ruo4 "so; such; to such a degree"
俳 pai2 "not serious; variety show"
俶 chu4 "to begin"
倬 zhuo1 "noticeable; large; clear; distinct"
倏 shu1 "sudden; abrupt"
恁 nen4 "to think; this; which?; how? (literary)"
倭 wo1 dwarf
倪 ni2 "(literary) small child; limit; bound; extremity; to differentiate; origin; cause"
俾 bi3 "to cause; to enable; phonetic bi"
倜 ti4 "energetic; exalted; magnanimous"
隼 sun3 falcon
倌 guan1 "keeper of domestic animals; herdsman"
倥 kong3 "urgent; pressed"
倥 kong1 "ignorant; blank-minded"
臬 nie4 "guidepost; rule; standard; limit"
皋 gao1 "bank; marsh; high riverbank"
郫 pi2 "place name"
倨 ju4 "(literary) haughty; arrogant"
衄 nü4 "to bleed from the nose (or from the ears, gums etc); fig. to be defeated"
颀 qi2 tall
舫 fang3 "2 boats lashed together; large boat"
釜 fu3 "kettle; cauldron"
衾 qin1 "coverlet; quilt"
胯 kua4 "crotch; groin; hip"
胱 guang1 bladder
胴 dong4 "large intestine; torso"
胭 yan1 rouge
脍 kuai4 "chopped meat or fish"
朕 zhen4 "i; we (imperial use); subtle"
脒 mi3 "amidine (chemistry)"
胺 an4 amine
鸱 chi1 "scops owl"
玺 xi3 "ruler's seal"
鸲 qu2 "(bound form, used in the names of various kinds of bird, esp. robins and redstarts)"
狷 juan4 "impetuous; rash; upright (character); nimble; impetuous; rash"
猁 li4 "a kind of monkey"
狳 yu2 armadillo
猃 xian3 "a kind of dog with a long snout"
狺 yin2 "snarling of dogs"
逖 ti4 far
桀 jie2 "(emperor of xia dynasty); cruel"
袅 niao3 "delicate; graceful; delicate; graceful; delicate; graceful"
饽 bo1 "cake; biscuit"
凇 song1 icicle
栾 luan2 "koelreuteria paniculata"
挛 luan2 "twisted; bent; crooked; cramped"
亳 bo2 "name of district in anhui; capital of yin"
疳 gan1 rickets
疴 ke1 "(literary) disease"
疸 dan3 jaundice
疽 ju1 gangrene
痈 yong1 carbuncle
疱 pao4 "pimple; acne; blister; boil; ulcer"
痂 jia1 scab
痉 jing4 spasm
凋 diao1 withered
颃 hang2 "fly down"
恣 zi4 "to abandon restraint; to do as one pleases"
旆 pei4 "pennant; streamer"
旄 mao2 "banner decorated with animal's tail"
旃 zhan1 "felt; silken banner"
阃 kun3 "threshold; inner appartments; woman; wife (honorific)"
阄 jiu1 "lots (to be drawn); lot (in a game of chance)"
訚 yin2 "respectful; to speak gently"
阆 lang4 "lofty; high gate; empty moat"
恙 yang4 sickness
郸 dan1 "name of a district in hebei"
烜 xuan3 brilliant
烨 ye4 "blaze of fire; glorious"
烩 hui4 "to braise; to cook (rice etc) with vegetables, meat and water"
烊 yang2 "molten; smelt"
剡 shan4 "river in zhejiang"
剡 yan3 sharp
烬 jin4 "(bound form) cinders; ashes"
涑 su4 "name of a river"
浯 wu2 "(name of several rivers in china)"
涞 lai2 "brook; ripple"
涟 lian2 "ripple; tearful"
娑 suo1 (phonetic)
涅 nie4 "to blacken"
涠 wei2 "still water"
浞 zhuo2 "(coll.) to drench"
涓 juan1 "brook; to select"
浥 yi4 "damp; moist"
涔 cen2 "overflow; rainwater; tearful"
浜 bang1 "stream; creek"
浠 xi1 "name of a river in hubei"
浣 huan4 "to wash; to rinse; any of three 10-day division of the month (during tang dynasty)"
浚 jun4 "to dredge (a river)"
悭 qian1 stingy
悝 kui1 "to laugh at"
悝 li3 "worried; afflicted"
悒 yi4 "anxiety; worry"
悌 ti4 "to do one's duty as a younger brother"
悛 quan1 "to reform"
宸 chen2 "imperial apartments"
窈 yao3 "deep; quiet and elegant"
剜 wan1 "to scoop out; to gouge out"
诹 zou1 "to choose; to consult"
冢 zhong3 "mound; burial mound; senior (i.e. eldest child or senior in rank)"
诼 zhuo2 "to complain"
袒 tan3 "to bare"
袢 pan4 robe
祯 zhen1 "auspicious; lucky"
诿 wei3 "to shirk; to give excuses"
谀 yu2 "to flatter"
谂 shen3 "to know; to reprimand; to urge; to long for; to tell; to inform"
谄 chan3 "to flatter; to cajole"
谇 sui4 abuse
屐 ji1 clogs
陬 zou1 "corner; foot of mountain"
勐 meng3 "meng (old administrative division in dai areas of yunnan)"
奘 zhuang3 "fat; stout"
奘 zang4 great
牂 zang1 "female sheep; place name"
蚩 chi1 "ignorant; worm"
陲 chui2 frontier
娠 shen1 pregnant
娉 ping1 graceful
娩 mian3 "to give birth to a child"
娩 wan3 "complaisant; agreeable"
娴 xian2 "elegant; refined; to be skilled at"
娣 di4 "wife of a younger brother"
娓 wei3 "active; comply with"
婀 e1 "graceful; willowy; unstable"
畚 ben3 "a basket or pan used for earth, manure etc"
逡 qun1 "to shrink back (from sth)"
绠 geng3 "(literary) well rope (for drawing water)"
骊 li2 "black horse; jet steed; good horse; legendary black dragon"
绡 xiao1 "raw silk"
骋 cheng3 "to hasten; to run; to open up; to gallop"
绥 sui2 "to pacify"
绦 tao1 "braid; cord; sash"
绨 ti2 "coarse greenish black pongee"
骎 qin1 "fleet horse"
邕 yong1 "yong river (guangxi); short name for nanning (guangxi); city surrounded by a moat"
鸶 si1 heron
耜 si4 "plow; plowshare"
焘 dao4 "cover over; to envelope"
舂 chong1 "to pound (grain); beat"
琏 lian3 "sacrificial vessel used for grain offerings"
琇 xiu4 (jade)
麸 fu1 bran
揶 ye2 "to gesticulate; to play antics"
埴 zhi2 "soil with large clay content"
埯 an3 "hole in the ground to plant seeds in; to make a hole for seeds; to dibble"
捯 dao2 "(coll.) to reel in (string, yarn etc) by pulling hand over hand or by coiling; to step along; to look into; to pursue (a matter)"
掳 lu3 "(bound form) to capture (sb)"
掴 guai1 "to slap"
埸 yi4 border
埵 duo3 "solid earth"
赧 nan3 "blushing with shame"
埤 pi2 "low wall"
捭 bo4 "to separate; to split"
捭 bai3 "to spread out; to open"
逵 kui2 "crossroads; thoroughfare"
埝 nian4 "earth embankment used to hold back or retain water; dike around a paddy field"
堋 peng2 "target in archery"
堍 tu4 "side of bridge"
掬 ju1 "to hold in one's hands; classifier for a double handful"
鸷 zhi4 "fierce; brutal; bird of prey"
掖 ye4 "to support by the arm; to help; to promote; at the side"
掖 ye1 "to tuck (into a pocket); to hide; to conceal"
捽 zuo2 "to seize"
掊 pou2 "take up in both hands"
掊 pou3 "break up; hit"
堉 yu4 "fertile soil"
掸 dan3 "to brush away; to dust off; brush; duster"
捩 lie4 "tear; twist"
掮 qian2 "to carry on the shoulder"
悫 que4 "honest; honest"
埭 dai4 dam
埽 sao4 dike
掇 duo1 "to pick up; to collect; to gather up"
掼 guan4 "to fling; to fall; to wear"
聃 dan1 "ears without rim"
菁 jing1 "leek flower; lush; luxuriant"
萁 qi2 "stalks of pulse"
菘 song1 "(cabbage); brassica chinensis"
萘 nai4 "naphthalene c10h8"
萋 qi1 "celosia argentea; luxuriant"
菽 shu1 "legumes (peas and beans)"
萜 tie1 "terpene (chemistry)"
萸 yu2 "cornelian cherry"
萑 huan2 "a kind of reed"
棻 fen1 "aromatic wood; perfume; fragrance"
菔 fu2 turnip
菟 tu4 "dodder (cuscuta sinensis, a parasitic vine with seeds having medicinal uses)"
萏 dan4 lotus
萃 cui4 "collect; collection; dense; grassy; thick; assemble; gather"
菏 he2 "he river in shandong"
菹 zu1 "marshland; swamp; salted or pickled vegetables; to mince; to shred; to mince human flesh and bones"
菪 dang4 henbane
菅 jian1 "(grass); themeda forsbali"
菀 yu4 "luxuriance of growth"
萦 ying2 "wind around"
菡 han4 "lotus blossom"
梿 lian2 "to thresh (using a flail)"
梏 gu4 "braces (med.); fetters; manacles"
觋 xi2 wizard
桴 fu2 "beam; rafter"
桷 jue2 "rafter; malus toringo"
梓 zi3 "catalpa kaempferi; printing blocks"
棁 zhuo1 "(wooden) stick; roof beam"
桫 suo1 "horse chestnut; stewartia pseudocamellia (botany)"
棂 ling2 "latticework on a window"
郾 yan3 "place name"
匮 kui4 "to lack; lacking; empty; exhausted"
豉 chi3 "salted fermented beans"
鄄 juan4 "name of a district in shandong"
酞 tai4 "phthalein (chemistry)"
酚 fen1 phenol
戛 jia2 "lance; to tap; to scrape; to chirp; custom"
硎 xing2 whetstone
硭 mang2 "crude saltpeter"
硒 xi1 "selenium (chemistry)"
硖 xia2 "place name"
硗 qiao1 "stony soil"
硐 dong4 "cave; pit"
硐 tong2 grind
硌 ge4 "(coll.) (of sth hard or rough) to press against some part of one's body causing discomfort (like a small stone in one's shoe); to hurt; to chafe"
