我,wo3,i; me; my
仰赖,yang3lai4,to rely on
仰躺,yang3tang3,to lie on one's back
仰韶,yang3shao2,yangshao culture (archaeological period with red and black pottery)
仰头,yang3tou2,to raise one's head
仲介,zhong4jie4,middleman; agent; broker
仲夏,zhong4xia4,midsummer; second month of summer
仲巴,zhong4ba1,"zhongba county, tibetan: 'brong pa rdzong, in shigatse prefecture, tibet"
仲父,zhong4fu4,father's younger brother; (sometimes used to refer to confucius)
仲秋,zhong4qiu1,second month of autumn; 8th month of the lunar calendar
仵工,wu3gong1,pallbearer
件数,jian4shu3,item count (of a consignment etc)
任一,ren4yi1,any; either
任事,ren4shi4,appointment to an important post
任人,ren4ren2,to appoint (sb to a post)
任令,ren4ling4,to allow (sth to happen)
任便,ren4bian4,as you see fit; to do as one likes
任侠,ren4xia2,chivalrous; helping the weak for the sake of justice
任免,ren4mian3,to appoint and dismiss
任内,ren4nei4,period in office
任咎,ren4jiu4,to take the blame
任从,ren4cong2,at one's discretion
任性,ren4xing4,willful; headstrong; unruly
任情,ren4qing2,to let oneself go; to do as much as one pleases
任凭,ren4ping2,no matter what; despite; to allow (sb to act arbitrarily)
任所,ren4suo3,one's office; place where one holds a post
任教,ren4jiao4,to hold a teaching position
任气,ren4qi4,to act on impulse
任用,ren4yong4,to appoint; to assign
任由,ren4you2,to let (sb do sth); to allow; regardless of
任直,ren4zhi2,nintendo direct (announcement presentation)
任听,ren4ting1,to allow (sb to act arbitrarily); to let sb have his head
任诞,ren4dan4,dissipated; unruly
任课,ren4ke4,to give classes; to work as a teacher
任选,ren4xuan3,to choose arbitrarily; to take whichever one fancies
任重,ren4zhong4,a load; a heavy burden
任随,ren4sui2,to allow (sb to have his head); to let things happen
份儿,fen4r5,degree; extent; allotted share
份子,fen4zi5,one's share of expenses (e.g. when buying a gift collectively); cash gift
份额,fen4e2,share; portion
仿似,fang3si4,as if; to seem
仿效,fang3xiao4,to copy; to imitate
仿冒,fang3mao4,to counterfeit; fake
仿古,fang3gu3,pseudo-classical; modeled on antique; in the old style
仿如,fang3ru2,like; similar to; as if
仿宋,fang3song4,imitation song dynasty typeface; fangsong font
仿射,fang3she4,"affine (math.), i.e. inhomogeneous linear"
仿照,fang3zhao4,to imitate
仿生,fang3sheng1,"to design an artificial system, taking inspiration from a living organism; bionic; biomimetic"
仿皮,fang3pi2,imitation leather
仿真,fang3zhen1,to emulate; to simulate; emulation; simulation
仿纸,fang3zhi3,copying paper (with printed model characters and blank squares for writing practice)
仿行,fang3xing2,to fashion after; to imitate
仿讽,fang3feng3,parody
仿造,fang3zao4,to copy; to produce sth after a model; to counterfeit
企划,qi3hua4,to plan; to lay out; to design
企及,qi3ji2,to hope to reach; to strive for
企慕,qi3mu4,to admire
企望,qi3wang4,hope; to hope; to look forward to
企求,qi3qiu2,to seek for; to hope to gain; desirous
企盼,qi3pan4,to expect; to look forward to; anxious for sth; to hope (to get sth)
企鹅,qi3e2,penguin
伄儅,diao4dang1,seldom; irregularly
伉俪,kang4li4,husband and wife (literary)
伊人,yi1ren2,(literary) that person (usually female); she; one's intended
伊伦,yi1lun2,irun (city in basque region of spain)
伊凡,yi1fan2,ivan (russian name)
伊始,yi1shi3,outset; beginning
伊娃,yi1wa2,eva (name)
伊州,yi1zhou1,illinois (us state)
伊春,yi1chun1,"yichun, prefecture-level city in heilongjiang"
伊朗,yi1lang3,iran
伊犁,yi1li2,the ili river basin around turpan in xinjiang
伊芙,yi1fu2,eve (name)
伊蚊,yi1wen2,"aedes, a genus of mosquito"
伊面,yi1mian4,"yi mein (or yee mee or yee-fu noodles etc), a variety of cantonese egg noodle"
伊党,yi1dang3,pan-malaysian islamic party
伎俩,ji4liang3,trick; scheme; ploy; tactic; stratagem; gimmick; ruse; trickery; skill
伏兵,fu2bing1,hidden troops; ambush
伏地,fu2di4,to lie prostrate
伏安,fu2an1,volt-ampere (measure of apparent power in alternating current circuits)
伏惟,fu2wei2,to lie prostrate; to prostrate oneself (in veneration)
伏击,fu2ji1,ambush; to ambush
伏案,fu2an4,"to bend over one's desk (writing, studying, taking a nap etc)"
伏汛,fu2xun4,summer flood
伏法,fu2fa3,to be executed
伏流,fu2liu2,hidden stream; ground stream
伏特,fu2te4,volt (loanword)
伏笔,fu2bi3,foreshadowing (literary device); foretaste of material to come (in essay or story)
伏线,fu2xian4,foreshadowing (literary device)
伏卧,fu2wo4,lying down; to lie prostrate; prone
伏虎,fu2hu3,to subdue a tiger; fig. to prevail over sinister forces
伏诛,fu2zhu1,to be executed
伐木,fa2mu4,to cut wood; tree-felling; lumbering
伐柯,fa2ke1,(cf book of songs) how to fashion an ax handle? you need an ax; fig. to follow a principle; fig. to act as matchmaker
休兵,xiu1bing1,to cease fire; armistice; rested troops
休妻,xiu1qi1,to repudiate one's wife
休学,xiu1xue2,to suspend schooling; to defer study
休市,xiu1shi4,to close the market (for a holiday or overnight etc)
休庭,xiu1ting2,to adjourn (law)
休怪,xiu1guai4,don't blame (sb)
休惜,xiu1xi1,recess
休憩,xiu1qi4,to rest; to relax; to take a break
休战,xiu1zhan4,armistice
休整,xiu1zheng3,to rest and reorganize (military)
休会,xiu1hui4,to adjourn
休止,xiu1zhi3,to stop
休耕,xiu1geng1,to leave farmland to lie fallow
休达,xiu1da2,sebta or ceuta (city in north morocco)
伙同,huo3tong2,to collude; in collusion with
伙计,huo3ji5,partner; fellow; mate; waiter; servant; shop assistant
伙食,huo3shi2,food; meals
伢子,ya2zi5,(dialect) child
伢崽,ya2zai3,(dialect) child
伯杰,bo2jie2,"(name) berger; samuel berger, former us national security advisor under president carter"
伯劳,bo2lao2,shrike
伯叔,bo2shu1,father's brother (uncle); husband's brother (brother-in-law)
伯乐,bo2le4,bo le (horse connoisseur during spring and autumn period); a good judge of talent; talent scout
伯爵,bo2jue2,earl; count
伯莎,bo2sha1,bertha (name)
伯颜,ba4yan2,"bayan (name); bayan of the merkid (-1340), yuan dynasty general and politician"
估值,gu1zhi2,valuation; estimation
估价,gu1jia4,to value; to appraise; to be valued at; estimate; valuation
估定,gu1ding4,to assess; to estimate the value
估摸,gu1mo5,to reckon; to guess
估测,gu1ce4,estimate
估产,gu1chan3,"to assess; to estimate (value of property, yield of harvest etc)"
估衣,gu4yi1,second hand clothes
估量,gu1liang5,to estimate; to assess
伴侣,ban4lu:35,companion; mate; partner
伴同,ban4tong2,to accompany
伴唱,ban4chang4,vocal accompaniment; to accompany a singer; to support of sb; to echo sb; to chime in with sb
伴娘,ban4niang2,bridesmaid; maid of honor; matron of honor
伴星,ban4xing1,companion (star)
伴有,ban4you3,to be accompanied by
伴热,ban4re4,steam or heat tracing
伴舞,ban4wu3,to be a dancing partner to sb; to perform as a backup dancer; taxi dancer (hired dancing partner); escort
伴郎,ban4lang2,best man
伶人,ling2ren2,actor; actress
伶仃,ling2ding1,alone and helpless
伶俐,ling2li4,clever; witty; intelligent
伶俜,ling2ping1,lonely; solitary
伶悧,ling2li4,witty; intelligent
伶鼬,ling2you4,weasel; mustela nivalis (zoology)
伸冤,shen1yuan1,to right wrongs; to redress an injustice
伸出,shen1chu1,to extend
伸展,shen1zhan3,stretching; extension
伸直,shen1zhi2,to straighten; to stretch out
伸肌,shen1ji1,extensor (anatomy)
伸长,shen1chang2,to stretch; to extend
伸开,shen1kai1,to stretch out
伺候,ci4hou4,to serve; to wait upon
伺服,si4fu2,servo (small electric motor); computer server
伺隙,si4xi4,to wait for the opportunity
似核,si4he2,nucleoid (of prokaryotic cell)
似雪,si4xue3,snowy
似鲴,si4gu4,"xenocyprioides, genus of cyprinid fish endemic to china"
佃户,dian4hu4,tenant farmer
佃农,dian4nong2,tenant farmer; sharecropper
但凡,dan4fan2,every single; as long as
但书,dan4shu1,proviso; qualifying clause
伫列,zhu4lie4,queue (computing)
伫立,zhu4li4,to stand for a long time
布伍,bu4wu3,to deploy troops; to deploy troops
布告,bu4gao4,posting on a bulletin board; notice; bulletin; to announce
布建,bu4jian4,"to progressively extend (service delivery, network etc) to a wider area; rollout"
布景,bu4jing3,(stage) set
布道,bu4dao4,sermon; to sermonize; to preach; to evangelize; to preach (the christian gospel)
布雷,bu4lei2,to lay mines
位元,wei4yuan2,bit (computing)
位列,wei4lie4,to rank
位图,wei4tu2,raster graphics
位居,wei4ju1,to be located at
位形,wei4xing2,configuration
位次,wei4ci4,place (in numbered sequence); degree on employment scale
位移,wei4yi2,displacement (vector)
位面,wei4mian4,plane (of existence)
低丘,di1qiu1,hilly (geography)
低俗,di1su2,vulgar; poor taste
低保,di1bao3,subsistence allowance
低分,di1fen1,low marks; low score
低利,di1li4,low interest
低劣,di1lie4,inferior quality; substandard; low-grade
低吟,di1yin2,to chant softly; to murmur
低地,di1di4,lowland
低垂,di1chui2,to droop; to hang low
低压,di1ya1,low pressure; low voltage
低层,di1ceng2,low level
低帮,di1bang1,low-top (shoes)
低廉,di1lian2,cheap; inexpensive; low
低微,di1wei1,meager (wages); humble (social status); feeble (voice)
低息,di1xi1,low-interest
低效,di1xiao4,inefficient; ineffective
低昂,di1ang2,ups and down; rise and fall
低档,di1dang4,low-grade; of low worth or rank; poor quality; inferior
低栏,di1lan2,low hurdles (track event)
低沉,di1chen2,overcast; gloomy; downcast; deep and low (of sound); muffled
低潮,di1chao2,low tide; low ebb
低产,di1chan3,low yield
低矮,di1ai3,short; low
低碳,di1tan4,(attributive) low-carbon; low-carb (diet)
低空,di1kong1,low altitude
低洼,di1wa1,low-lying
低端,di1duan1,low-end
低等,di1deng3,inferior
低级,di1ji2,low level; rudimentary; vulgar; low; inferior
低维,di1wei2,low-dimensional (math.)
低缓,di1huan3,low and unhurried (voice etc); low and gently sloping (terrain)
低耗,di1hao4,"low consumption (energy, fuel etc)"
低声,di1sheng1,in a low voice; softly
低胸,di1xiong1,low-cut (dress); plunging (neckline)
低能,di1neng2,incapable; incompetent; stupid; mentally deficient
低脂,di1zhi1,low fat
低语,di1yu3,mutter
低陷,di1xian4,to sink; to settle
低阶,di1jie1,low level
低音,di1yin1,bass
住区,zhu4qu1,living area
住口,zhu4kou3,shut up; shut your mouth; stop talking
住嘴,zhu4zui3,to hold one's tongue
住地,zhu4di4,living area; residential area
住客,zhu4ke4,hotel guest; tenant
住家,zhu4jia1,residence; household; to reside
住居,zhu4ju1,to live; to reside
住所,zhu4suo3,habitation; dwelling place; residence
住手,zhu4shou3,to desist; to stop; to stay one's hand
住持,zhu4chi2,abbot; head monk
住校,zhu4xiao4,to board at school
住脚,zhu4jiao3,to stop
住舍,zhu4she4,house; residence
住处,zhu4chu4,residence; dwelling; dwelling place
住读,zhu4du2,to attend boarding school
佐罗,zuo3luo2,zorro
佐证,zuo3zheng4,evidence; proof; to confirm; corroboration
佐贰,zuo3er4,deputy; junior
佐酒,zuo3jiu3,to drink together (in company); to drink together (with food)
佐餐,zuo3can1,(of food) accompaniment
佑护,you4hu4,blessing
占中,zhan4zhong1,"occupy central, hong kong civil disobedience movement (september 2014 -)"
占先,zhan4xian1,to take precedence
占去,zhan4qu4,to take up (one's time etc); to occupy (one's attention etc); to account for (a proportion of sth)
占族,zhan4zu2,cham ethnic group
占线,zhan4xian4,busy (telephone line)
何不,he2bu4,why not?; why not do (sth)?
何人,he2ren2,who
何以,he2yi3,(literary) why; how
何其,he2qi2,so (many etc)
何啻,he2chi4,(literary) far more than; not limited to
何尝,he2chang2,(rhetorical question) when?; how?; it's not that...
何在,he2zai4,where?; what place?
何如,he2ru2,how about; what kind of
何妨,he2fang2,what harm is there in (doing sth)
何干,he2gan1,what business?
何所,he2suo3,where; what place
何故,he2gu4,what for?; what's the reason?
何方,he2fang1,where?
何日,he2ri4,when?
何止,he2zhi3,far more than; not just
何为,he2wei2,what is; (in a rhetorical question) it's no use
何等,he2deng3,"what kind?; how, what; somewhat"
何许,he2xu3,(literary) what place; what time; how
何谓,he2wei4,(literary) what is?; what is the meaning of?
何须,he2xu1,there is no need; why should
余月,yu2yue4,alternative term for fourth lunar month
余车,yu2che1,emperor's carriage
佚名,yi4ming2,anonymous (author)
佛像,fo2xiang4,statue of buddha or bodhisattva
佛光,fo2guang1,buddha's teachings; aura (around the head of buddha)
佛塔,fo2ta3,pagoda
佛家,fo2jia1,buddhism; buddhist
佛山,fo2shan1,foshan prefecture-level city in guangdong
佛心,fo2xin1,buddha-like heart (full of compassion); spirit of buddha (awakened to reality and no longer clinging to appearances)
佛性,fo2xing4,buddha nature
佛教,fo2jiao4,buddhism
佛书,fo2shu1,scripture
佛法,fo2fa3,dharma (the teachings of the buddha)
佛爷,fo2ye5,buddha; god; emperor
佛牙,fo2ya2,buddha's tooth (a holy relic)
佛祖,fo2zu3,buddha
佛系,fo2xi4,(neologism c. 2017) (coll.) chill about everything (typically used to describe young people who don't buy into aspirational society)
佛经,fo2jing1,scripture
佛号,fo2hao4,one of the many names of buddha
佛门,fo2men2,buddhism
佛陀,fo2tuo2,"buddha (a person who has attained buddhahood, or specifically siddhartha gautama)"
佛骨,fo2gu3,buddha's bones (as a sacred relic)
作下,zuo4xia4,to do; to make (usually bad connotation)
作主,zuo4zhu3,to decide; to make decisions; to take responsibility (for deciding); to be in charge; to give sb justice
作乱,zuo4luan4,to start a rebellion; to rise in revolt
作人,zuo4ren2,to conduct oneself
作件,zuo4jian4,workpiece
作伴,zuo4ban4,to accompany; to keep sb company
作保,zuo4bao3,to act as surety for sb; to be sb's guarantor; to stand bail for sb
作假,zuo4jia3,to counterfeit; to falsify; to cheat; to defraud; fraudulent; to behave affectedly
作别,zuo4bie2,to take one's leave; to bid farewell
作势,zuo4shi4,to adopt an attitude; to strike a posture
作古,zuo4gu3,to die; to pass away
作合,zuo4he2,to make a match; to get married
作呕,zuo4ou3,to feel sick; to feel nauseous; to feel disgusted
作坊,zuo1fang5,workshop (of artisan)
作孽,zuo4nie4,to sin
作弄,zuo4nong4,to tease; to play tricks on
作怪,zuo4guai4,(of a ghost) to make strange things happen; to act up; to act behind the scenes; to make mischief; odd; to misbehave (euphemism for having sex)
作息,zuo4xi1,to work and rest
作恶,zuo4e4,to do evil
作爱,zuo4ai4,to make love
作态,zuo4tai4,to put on an attitude; to pose
作手,zuo4shou3,writer; expert
作揖,zuo4yi1,to bow with hands held in front
作数,zuo4shu4,valid; counting (as valid)
作料,zuo4liao5,condiments; seasoning
作曲,zuo4qu3,to compose (music)
作东,zuo4dong1,to host (a dinner); to treat; to pick up the check
作案,zuo4an4,to commit a crime
作梗,zuo4geng3,to hinder; to obstruct; to create difficulties
作乐,zuo4le4,to make merry
