的 de
了 le
将军 jiang1jun1 "(common place name); general; high-ranking military officer; to check or checkmate; fig. to embarrass; to challenge; to put sb on the spot"
军事 jun1shi4 "military affairs; (attributive) military"
空军 kong1jun1 "air force"
陆军 lu4jun1 "army; ground forces"
呆 dai1 "foolish; stupid; expressionless; blank; to stay"
番 fan1 "foreign (non-chinese); barbarian; classifier for occurrences (of an event, action or speech utterance); classifier for iterations: times, -fold (as in twofold etc); classifier for situations: kind, sort"
一番 yi4fan1
表演 biao3yan3 "play; show; performance; exhibition; to perform; to act; to demonstrate"
导演 dao3yan3 "to direct; director (film etc)"
演 yan3 "to develop; to evolve; to practice; to perform; to play; to act"
演唱 yan3chang4 "sung performance; to sing for an audience"
演唱会 yan3chang4hui4
演员 yan3yuan2 "actor or actress; performer"
演出 yan3chu1 "to act (in a play); to perform; to put on (a performance); performance; concert; show"
演讲 yan3jiang3 "lecture; to make a speech"
上演 shang4yan3 "to screen (a movie); to stage (a play); a screening; a staging"
宝藏 bao3zang4 "precious mineral deposits; hidden treasure; (fig.) treasure"
中央 zhong1yang1 "central; middle; center; central authorities (of a state)"
承办 cheng2ban4 "to undertake; to accept a contract"
继承 ji4cheng2 "to inherit; to succeed to (the throne etc); to carry on (a tradition etc)"
记录 ji4lu4 "to record; record (written account); note-taker; record (in sports etc)"
录像 lu4xiang4 "to videotape; to videorecord; video recording"
录音机 lu4yin1ji1
收益 shou1yi4 "earnings; profit"
宣布 xuan1bu4 "to declare; to announce; to proclaim"
宣传 xuan1chuan2 "to disseminate; to give publicity to; propaganda"
弟弟 di4di5 "younger brother"
积极 ji1ji2 "active; energetic; vigorous; positive (outlook); proactive"
体积 ti3ji1 "volume; bulk"
人民币 ren2min2bi4 "renminbi (rmb); chinese yuan (cny)"
外币 wai4bi4 "foreign currency"
鸟 niao3 "bird; (intensifier) damned; goddamn"
拒绝 ju4jue2 "to refuse; to decline; to reject"
奶 nai3 "breast; milk; to breastfeed; mother"
奶奶 nai3nai5 "(informal) grandma (paternal grandmother); (respectful) mistress of the house; (coll.) boobies; breasts"
届 jie4 "to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures, years (of graduation)"
药片 yao4pian4 "a (medicine) pill or tablet"
药 yao4 "leaf of the iris; medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); to poison"
药水 yao4shui3 "medicine in liquid form; bottled medicine; lotion"
药店 yao4dian4 pharmacy
药物 yao4wu4 "medicaments; pharmaceuticals; medication; medicine; drug"
中药 zhong1yao4 "traditional chinese medicine"
药品 yao4pin3 "medicaments; medicine; drug"
医药 yi1yao4 "medical care and medicines; medicine (drug); medical; pharmaceutical"
猜 cai1 "to guess"
范围 fan4wei2 "range; scope; limit; extent"
规范 gui1fan4 "norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify"
示范 shi4fan4 "to demonstrate; to show how to do sth; demonstration; a model example"
掌声 zhang3sheng1 applause
把握 ba3wo4 "to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)"
握手 wo4shou3 "to shake hands"
握 wo4 "to hold; to grasp; to clench (one's fist); (bound form) to have in one's control; classifier: a handful"
掌握 zhang3wo4 "to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency"
县 xian4 county
丰收 feng1shou1 "bumper harvest"
丰富 feng1fu4 "to enrich; rich; plentiful; abundant"
富 fu4 "rich; abundant; wealthy"
富人 fu4ren2 "rich person; the rich"
富有 fu4you3 "rich; wealthy; affluent; to be rich in; to be replete with"
牛奶 niu2nai3 "cow's milk"
牛 niu2 "ox; cow; bull; (slang) awesome"
牛 niu2 "ox; cow; bull; (slang) awesome"
奶牛 nai3niu2 "milk cow; dairy cow"
塔 ta3 "pagoda; tower; minaret"
主席 zhu3xi2 "chairperson; premier; chairman"
首席 shou3xi2 "chief (representative, correspondent etc)"
存款 cun2kuan3 "to deposit money (in a bank etc); bank savings; bank deposit"
取款 qu3kuan3 "to withdraw money from a bank"
取款机 qu3kuan3ji1
剑 jian4 "double-edged sword; classifier for blows of a sword"
不足 bu4zu2 "insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not"
充足 chong1zu2 "adequate; sufficient; abundant"
十足 shi2zu2 "ample; complete; hundred percent; a pure shade (of some color)"
足 zu2 "foot; to be sufficient; ample"
足以 zu2yi3 "sufficient to...; so much so that; so that"
腿 tui3 "leg; hip bone"
火腿 huo3tui3 ham
桥 qiao2 bridge
招生 zhao1sheng1 "to enroll new students; to get students"
招手 zhao1shou3 "to wave; to beckon"
招 zhao1 "to recruit; to provoke; to beckon; to incur; to infect; contagious; a move (chess); a maneuver; device; trick; to confess"
颜色 yan2se4 "color; countenance; appearance; facial expression; pigment; dyestuff"
五颜六色 wu3yan2liu4se4
关键 guan1jian4 "crucial point; crux; key; crucial; pivotal"
键盘 jian4pan2 keyboard
键 jian4 "key (on a piano or computer keyboard); button (on a mouse or other device); chemical bond; linchpin"
按键 an4jian4 "button or key (on a device); keystroke; to press a button"
合适 he2shi4 "suitable; fitting; appropriate"
适合 shi4he2 "to fit; to suit"
适用 shi4yong4 "to be applicable"
适应 shi4ying4 "to adapt; to fit; to suit"
适当 shi4dang4 "suitable; appropriate"
创新 chuang4xin1 "to bring forth new ideas; to blaze new trails; innovation"
创造 chuang4zao4 "to create; to bring about; to produce; to set (a record)"
创作 chuang4zuo4 "to create; to produce; to write; creative work; creation"
创业 chuang4ye4 "to begin an undertaking; to start a major task; to initiate; to venture; venture; entrepreneurship"
创立 chuang4li4 "to establish; to set up; to found"
创建 chuang4jian4 "to found; to establish"
创意 chuang4yi4 "creative; creativity"
创办 chuang4ban4 "to establish; to found; to launch"
开创 kai1chuang4 "to initiate; to start; to found"
动物园 dong4wu4yuan2
公园 gong1yuan2 "park (for public recreation)"
花园 hua1yuan2 garden
校园 xiao4yuan2 campus
园林 yuan2lin2 "gardens; park; landscape garden"
家园 jia1yuan2 "home; homeland"
园 yuan2 "land used for growing plants; site used for public recreation"
园地 yuan2di4 "garden area"
死亡 si3wang2 "to die; death"
特殊 te4shu1 "special; particular; unusual; extraordinary"
兴奋 xing1fen4 "excited; excitement; (physiology) excitation"
细 xi4 "thin or slender; finely particulate; thin and soft; fine; delicate; trifling; (of a sound) quiet; frugal"
细节 xi4jie2 "details; particulars"
仔细 zi3xi4 "careful; attentive; cautious; to be careful; to look out"
竞赛 jing4sai4 "to compete; to race; contest; competition; match; race"
竞争 jing4zheng1 "to compete; competition"
可惜 ke3xi1 "it is a pity; what a pity; unfortunately"
爱惜 ai4xi1 "to cherish; to treasure; to use sparingly"
偶然 ou3ran2 "incidentally; occasional; occasionally; by chance; randomly"
偶像 ou3xiang4 idol
偶尔 ou3er3 "occasionally; once in a while; sometimes"
关怀 guan1huai2 "care; solicitude; to show care for; concerned about; attentive to"
疑问 yi2wen4 "question; interrogation; doubt"
无疑 wu2yi2 "undoubtedly; without doubt; for sure"
半信半疑 ban4xin4ban4yi2
权 quan2 "authority; power; right; (literary) to weigh; expedient; temporary"
权力 quan2li4 "power; authority"
人权 ren2quan2 "human rights"
政权 zheng4quan2 "regime; political power"
迅速 xun4su4 "rapid; speedy; fast"
土 tu3 "tu (ethnic group); earth; dust; clay; local; indigenous; crude opium; unsophisticated"
土地 tu3di5 "local god; genius loci"
本土 ben3tu3 "one's native country; native; local; metropolitan territory"
土 tu3 "tu (ethnic group); earth; dust; clay; local; indigenous; crude opium; unsophisticated"
情绪 qing2xu4 "mood; state of mind; moodiness"
追求 zhui1qiu2 "to pursue (a goal etc) stubbornly; to seek after; to woo"
追究 zhui1jiu1 "to investigate; to look into"
细致 xi4zhi4 "delicate; fine; careful; meticulous; painstaking"
一致 yi1zhi4 "unanimous; identical (views or opinions)"
大致 da4zhi4 "more or less; roughly; approximately"
此致 ci3zhi4 "(used at the end of a letter to introduce a polite salutation)"
标致 biao1zhi5 "beautiful (of woman); pretty"
强烈 qiang2lie4 "strong; intense"
热烈 re4lie4 "enthusiastic; ardent; warm"
害怕 hai4pa4 "to be afraid; to be scared"
害 hai4 "to do harm to; to cause trouble to; harm; evil; calamity"
有害 you3hai4 "destructive; harmful; damaging"
恢复 hui1fu4 "to reinstate; to resume; to restore; to recover; to regain; to rehabilitate"
估计 gu1ji4 "to estimate; to reckon; (coll.) to suppose"
评估 ping2gu1 "to evaluate; to assess; assessment; evaluation"
接触 jie1chu4 "to touch; to contact; access; in touch with"
危害 wei1hai4 "to jeopardize; to harm; to endanger; harmful effect; damage"
危机 wei1ji1 crisis
保险 bao3xian3 "insurance; to insure; safe; secure; be sure; be bound to"
风险 feng1xian3 "risk; hazard"
危险 wei1xian3 "danger; dangerous"
险 xian3 "danger; dangerous; rugged"
地铁 di4tie3 "underground railway; subway; subway train"
地铁站 di4tie3zhan4
铁 tie3 "iron (metal); arms; weapons; hard; strong; violent; unshakeable; determined; close; tight (slang)"
铁路 tie3lu4 "railroad; railway"
深厚 shen1hou4 "deep; profound"
代表团 dai4biao3tuan2
团 tuan2 "round; lump; ball; to roll into a ball; to gather; regiment; group; society; classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke); dumpling"
团结 tuan2jie2 "to unite; unity; solidarity; united"
团体 tuan2ti3 "group; organization; team"
集团 ji2tuan2 "group; bloc; corporation; conglomerate"
团长 tuan2zhang3 "regimental command; head of a delegation; group buy organizer; group-buying coordinator"
维持 wei2chi2 "to keep; to maintain; to preserve"
维护 wei2hu4 "to defend; to safeguard; to protect; to uphold; to maintain"
维修 wei2xiu1 "maintenance (of equipment); to protect and maintain"
思维 si1wei2 "(line of) thought; thinking"
姓 xing4 "family name; surname; to be surnamed"
姓名 xing4ming2 "full name"
医疗 yi1liao2 "medical treatment"
治疗 zhi4liao2 "to treat (an illness); medical treatment; therapy"
商场 shang1chang3 "shopping mall; shopping center; department store; emporium; the business world"
商店 shang1dian4 "store; shop"
商量 shang1liang5 "to consult; to talk over; to discuss"
商人 shang1ren2 "merchant; businessman"
商业 shang1ye4 "business; trade; commerce"
商品 shang1pin3 "commodity; goods; merchandise"
商务 shang1wu4 "commercial affairs; commercial; commerce; business"
商标 shang1biao1 "trademark; logo"
工商 gong1shang1 "industry and commerce"
商城 shang1cheng2 "shopping center; department store"
加油 jia1you2 "to add oil; to top up with gas; to refuel; to accelerate; to step on the gas; (fig.) to make an extra effort; to cheer sb on"
油 you2 "oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning"
石油 shi2you2 "oil; petroleum"
恩人 en1ren2 "a benefactor; a person who has significantly helped sb else"
图案 tuan2
案件 an4jian4 "case; instance"
吸 xi1 "to breathe; to suck in; to absorb; to inhale"
吸管 xi1guan3 "(drinking) straw; pipette; eyedropper; snorkel"
吸收 xi1shou1 "to absorb; to assimilate; to ingest; to recruit"
吸烟 xi1yan1 "to smoke"
吸引 xi1yin3 "to attract; to appeal to; to fascinate"
下载 xia4zai4
战士 zhan4shi4 "fighter; soldier; warrior"
博士 bo2shi4 "doctor; court academician (in feudal china); ph.d."
人士 ren2shi4 "person; figure; public figure"
甲 jia3 "(used for an unspecified person or thing); first (in a list, as a party to a contract etc); armor plating; shell or carapace; (of the fingers or toes) nail"
指甲 zhi3jia5 fingernail
波动 bo1dong4 "to undulate; to fluctuate; wave motion; rise and fall"
毛 mao2 "hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate"
毛笔 mao2bi3 "writing brush"
摆放 bai3fang4 "to set up; to arrange; to lay out"
摆设 bai3she5 "ornament; decorative item; (fig.) sth that is merely for show"
摆平 bai3ping2 "to be fair; to be impartial; to settle (a matter etc)"
采购 cai3gou4 "to procure (for an enterprise etc); to purchase"
收购 shou1gou4 "to purchase (from various places); to acquire (a company)"
松树 song1shu4 "pine; pine tree"
松 song1 "pine; loose; to loosen; to relax; floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)"
爷爷 ye2ye5 "(coll.) father's father; paternal grandfather"
鬼 gui3 "disembodied spirit; ghost; devil; (suffix) person with a certain vice or addiction etc; sly; crafty"
酒鬼 jiu3gui3 drunkard
外交官 wai4jiao1guan1
打官司 da3guan1si5
官司 guan1si5 lawsuit
波浪 bo1lang4 wave
海浪 hai3lang4 "sea wave"
瞧 qiao2 "to look at; to see; to see (a doctor); to visit"
灯 deng1 "lamp; light; lantern"
台灯 tai2deng1 "desk lamp; table lamp"
差距 cha1ju4 "disparity; gap"
汉语 han4yu3 "chinese language"
汉字 han4zi4 "chinese character"
承诺 cheng2nuo4 "to promise; to undertake to do something; commitment"
碗 wan3 "bowl; cup"
赶 gan3 "to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time)"
赶到 gan3dao4 "to hurry (to some place)"
赶快 gan3kuai4 quickly
赶紧 gan3jin3 "hurriedly; without delay"
赶不上 gan3bu5shang4
赶上 gan3shang4 "to keep up with; to catch up with; to overtake; to chance upon; in time for"
赶忙 gan3mang2 "to hurry; to hasten; to make haste"
偷 tou1 "to steal; to pilfer; to snatch; thief; stealthily"
偷偷 tou1tou1 "stealthily; secretly; covertly; furtively; on the sly"
小偷儿 xiao3tou1
吹 chui1 "to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through"
移动 yi2dong4 "to move; movement; migration; mobile; portable"
移 yi2 "to move; to shift; to change; to alter; to remove"
移民 yi2min2 "to immigrate; to migrate; emigrant; immigrant"
转移 zhuan3yi2 "to shift; to relocate; to transfer; (fig.) to shift (attention); to change (the subject etc); (medicine) to metastasize"
眼泪 yan3lei4 "tears; crying"
互联网 hu4lian2wang3 internet
互相 hu4xiang1 "each other; mutually; mutual"
相互 xiang1hu4 "each other; mutual"
互动 hu4dong4 "to interact; interactive"
城镇 cheng2zhen4 "town; cities and towns"
镇 zhen4 "to press down; to calm; to subdue; to suppress; to guard; garrison; small town; to cool or chill (food or drinks)"
童话 tong2hua4 "children's fairy tales"
童年 tong2nian2 childhood
赏 shang3 "to bestow (a reward); to give (to an inferior); to hand down; a reward (bestowed by a superior); to appreciate (beauty)"
欣赏 xin1shang3 "to appreciate; to enjoy; to admire"
